Topic,1
make,0.012892
work,0.012669
new,0.0096521
example,0.0085819
way,0.0079234
well,0.0072354
possible,0.0071266
order,0.0070002
allow,0.0069679
provide,0.0066268
-,-
Topic,2
state,0.028224
value,0.024304
time,0.023697
case,0.017698
define,0.01714
set,0.015475
model,0.014017
consider,0.013468
number,0.012919
function,0.012402
-,-
Topic,3
key,0.026549
datum,0.016313
private,0.014251
public,0.013688
information,0.012061
store,0.011047
request,0.010548
send,0.010274
generate,0.0099483
time,0.0097666
-,-
Topic,4
user,0.097158
system,0.059226
incentive,0.031365
participant,0.029711
share,0.027822
mechanism,0.025258
blockchain,0.018899
base,0.015216
number,0.014901
propose,0.011032
-,-
Topic,5
blockchain,0.055431
technology,0.040405
research,0.01693
management,0.013468
system,0.011522
business,0.011232
application,0.011129
industry,0.011091
company,0.0094382
development,0.0091405
-,-
Topic,6
game,0.025403
strategy,0.023068
model,0.017661
value,0.016989
information,0.015723
system,0.014013
figure,0.011417
base,0.010901
theory,0.01038
evolutionary,0.010096
-,-
Topic,7
worker,0.017176
available,0.01261
online,0.012125
include,0.0078824
result,0.0076218
signal,0.0070915
test,0.0067859
collaboration,0.0063455
green,0.0060489
image,0.0060399
-,-
Topic,8
market,0.01307
social,0.012387
risk,0.011107
information,0.009967
real,0.0098118
world,0.0080666
control,0.0078727
driver,0.0077409
economic,0.0076633
increase,0.0074384
-,-
Topic,9
network,0.042837
blockchain,0.03904
system,0.029899
iot,0.025736
security,0.024242
device,0.016832
access,0.014431
architecture,0.012352
layer,0.011466
application,0.011301
-,-
Topic,10
vol,0.024368
content,0.022481
metaverse,0.019586
storage,0.01721
user,0.015122
network,0.014905
video,0.013259
virtual,0.012933
publication,0.012483
cache,0.011769
-,-
Topic,11
node,0.11028
blockchain,0.05674
consensus,0.050323
block,0.044647
network,0.033141
algorithm,0.019228
number,0.014422
trust,0.014159
malicious,0.013531
reputation,0.012828
-,-
Topic,12
game,0.089503
player,0.075347
strategy,0.029554
payoff,0.017563
equilibrium,0.017284
utility,0.01318
reward,0.011744
rational,0.011
cost,0.010909
action,0.010855
-,-
Topic,13
vol,0.030392
blockchain,0.017801
optimal,0.011982
utility,0.011765
game,0.01157
function,0.011543
proc,0.010748
trans,0.01073
strategy,0.0095555
propose,0.0084305
-,-
Topic,14
bitcoin,0.029744
address,0.022018
network,0.018287
transaction,0.015768
feature,0.014525
exchange,0.012837
analysis,0.011651
cluster,0.010843
figure,0.0090185
graph,0.0079043
-,-
Topic,15
datum,0.15758
model,0.046552
learning,0.027596
provider,0.014223
owner,0.0122
privacy,0.010717
learn,0.010655
training,0.01064
quality,0.01054
performance,0.010455
-,-
Topic,16
service,0.061456
resource,0.056023
task,0.055289
cloud,0.041686
computing,0.036994
allocation,0.021671
compute,0.018501
reward,0.016577
algorithm,0.014171
cost,0.01134
-,-
Topic,17
city,0.047683
april,0.045061
apply,0.044138
download,0.043594
limited,0.042926
restriction,0.042687
authorize,0.042505
univ,0.041244
license,0.040774
utc,0.040049
-,-
Topic,18
education,0.021621
student,0.018695
learning,0.015042
game,0.014669
process,0.013835
software,0.012706
study,0.0119
activity,0.011753
environment,0.011645
learn,0.011174
-,-
Topic,19
transaction,0.12231
time,0.030617
channel,0.024626
fee,0.023859
rate,0.020554
network,0.016559
peer,0.015212
shard,0.01299
payment,0.012518
average,0.011217
-,-
Topic,20
contract,0.13268
smart,0.08972
blockchain,0.033065
ethereum,0.029529
transaction,0.016739
gas,0.014796
function,0.01455
call,0.010308
account,0.0097293
code,0.0095786
-,-
Topic,21
model,0.055685
platform,0.03079
reduction,0.017115
carbon,0.014489
mode,0.013347
emission,0.01152
channel,0.010677
recycling,0.0099921
waste,0.0099351
condition,0.0092927
-,-
Topic,22
protocol,0.062567
party,0.027536
round,0.020083
message,0.018221
vote,0.014613
proof,0.014311
send,0.012066
honest,0.010597
voting,0.010523
commitment,0.0098944
-,-
